CreditScoreScaled,Germany,Spain,GenderCoded,AgeScaled,Tenure,BalanceScaled,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalaryScaled,Exited
0.538,0,0,0,0.32432432432432434,2,0.0,1,1,1,0.5067348931822989,1
0.516,0,1,0,0.3108108108108108,1,0.33403147867725896,1,0,1,0.5627087386845443,0
0.304,0,0,0,0.32432432432432434,8,0.6363571759354565,3,1,0,0.5696543519906151,1
0.698,0,0,0,0.28378378378378377,1,0.0,2,0,0,0.4691200509648671,0
1.0,0,1,0,0.33783783783783783,2,0.5002462155052675,1,1,1,0.3954003607344501,0
0.59,0,1,1,0.35135135135135137,8,0.4533943642217444,2,1,0,0.7487971601287923,1
0.944,0,0,1,0.43243243243243246,7,0.0,2,1,1,0.050260899915941966,0
0.052,1,0,0,0.14864864864864866,4,0.4585397202505607,4,1,0,0.5967334880481086,1
0.302,0,0,1,0.35135135135135137,4,0.5661703921301274,2,0,1,0.3746803819764787,0
0.668,0,0,1,0.12162162162162163,2,0.5364882610306041,1,1,1,0.35860499677719215,0
0.356,0,0,1,0.17567567567567569,6,0.40660620413650816,2,0,0,0.4008859846115303,0
0.294,0,1,1,0.08108108108108109,3,0.0,2,1,0,0.38192862418360946,0
0.252,0,0,0,0.21621621621621623,10,0.0,2,1,0,0.13125953528561976,0
0.398,0,0,0,0.0945945945945946,5,0.0,2,0,0,0.954322187768932,0
0.57,0,1,0,0.22972972972972974,7,0.0,2,1,1,0.32973183939066175,0
0.532,1,0,1,0.36486486486486486,3,0.570468312453076,2,0,1,0.3216091136703555,0
0.606,1,0,1,0.5405405405405406,1,0.5285129113577549,1,1,0,0.025432878839929212,1
0.398,0,1,0,0.08108108108108109,9,0.0,2,1,1,0.07198102418780992,0
0.474,0,1,1,0.36486486486486486,6,0.0,1,0,0,0.7934419237037137,0
0.752,0,0,0,0.08108108108108109,6,0.0,2,1,1,0.27358837769006933,0
0.764,0,0,1,0.3108108108108108,8,0.0,2,1,1,0.8544545504095642,0
0.572,0,1,0,0.1891891891891892,8,0.0,2,1,0,0.6927855610210775,0
0.32,0,1,0,0.2702702702702703,4,0.0,1,1,0,0.5945665311037204,1
0.638,0,0,1,0.3783783783783784,3,0.0,2,0,1,0.04238489775773586,0
0.992,0,0,0,0.2702702702702703,5,0.0,1,1,1,0.9381124897427704,0
0.454,0,0,1,0.0945945945945946,3,0.0,2,0,1,0.6225430028567727,0
0.812,1,0,1,0.24324324324324326,2,0.5453036330408095,1,1,1,0.850233047256013,0
0.442,0,0,1,0.35135135135135137,9,0.0,2,0,0,0.19212719814742305,0
0.448,1,0,0,0.33783783783783783,3,0.5633738782148561,1,1,1,0.5009270885369552,0
0.122,0,0,1,0.14864864864864866,0,0.23793393564693935,2,1,1,0.267383685141931,0
0.482,0,1,0,0.28378378378378377,3,0.0,3,1,0,0.702356075005163,1
0.366,0,0,1,0.24324324324324326,7,0.34002530668926173,1,0,1,0.7836764911049006,0
0.406,1,0,1,0.3108108108108108,9,0.43887356814872525,2,0,0,0.4094752548868416,0
0.34,0,1,0,0.32432432432432434,6,0.0,2,1,1,0.17201127707696084,0
0.744,0,1,0,0.14864864864864866,9,0.0,2,1,1,0.7101752717384511,0
0.25,0,0,0,0.36486486486486486,0,0.5351337668612782,1,1,0,0.13907033121663118,1
0.28,0,1,1,0.17567567567567569,3,0.5789610833625717,1,0,1,0.5703304165547809,0
0.908,0,1,1,0.20270270270270271,7,0.30509837679513624,1,0,1,0.492256360482426,0
1.0,0,0,1,0.24324324324324326,7,0.0,1,1,1,0.20402608449106888,0
